wave,match,decision_of_partner,likes_partner,liked_by_partner,wave_condition,iid_id,partner_id,met_so_far,int_corr,same_race,same_country,age_ratio,met_before,diff_pref_attractive,diff_pref_sincere,diff_pref_intelligent,diff_pref_fun,diff_pref_ambitious,diff_pref_sharedhobbies,rating_by_partner_attractive,rating_by_partner_sincere,rating_by_partner_intelligent,rating_by_partner_fun,rating_by_partner_ambitious,rating_by_partner_sharedhobbies,rated_partner_attractive,rated_partner_sincere,rated_partner_intelligent,rated_partner_fun,rated_partner_ambitious,rated_partner_sharedhobbies
1,0,0,0.7,0.7,1,1-1,11-1,0,0.14,0,0,1.12,0,0.05,0.1,0.15,0.05,0,0.05,6,8,8,8,8,6,6,9,7,7,6,5
1,0,0,0.8,0.7,1,1-1,12-2,1,0.54,0,0,0.84,0,0.2,0.05,0.25,0.2,0.1,0.3,7,8,10,7,7,5,7,8,7,8,5,6
1,1,1,1,0.7,1,1-1,13-3,2,0.16,1,0,0.88,1,0.04,0.08,0.11,0.08,0.09,0.18,10,10,10,10,10,10,5,8,9,8,5,7
1,1,1,0.7,0.7,1,1-1,14-4,3,0.61,0,0,1.32,0,0.0667,0.1083,0.0917,0.0458,0.1167,0.1125,7,8,9,8,9,8,7,6,8,7,6,8
1,1,1,0.8,0.6,1,1-1,15-5,4,0.21,0,0,1.08,0,0.0038,0.0731,0.1269,0.0731,0.1231,0.1462,8,7,9,6,9,7,5,6,7,7,6,6
1,0,1,0.7,0.6,1,1-1,16-6,5,0.25,0,0,1.2,0,0.0167,0.025,0.0917,0.0875,0.075,0.1125,7,7,8,8,7,7,4,9,7,4,6,4
1,0,0,0.2,0.6,1,1-1,17-7,6,0.34,0,0,1.12,0,0.0196,0.1174,0.1043,0.0739,0.1022,0.1696,3,6,7,5,8,7,7,6,7,4,6,7
1,0,0,0.7,0.6,1,1-1,18-8,7,0.5,0,0,1.04,0,0.0198,0.0698,0.1113,0.0698,0.0821,0.1302,6,7,5,6,8,6,4,9,7,6,5,6
1,1,1,0.65,0.7,1,1-1,19-9,8,0.28,0,0,0.92,0,0.0038,0.0923,0.1269,0.0923,0.0462,0.1077,7,7,8,8,8,9,7,6,8,9,8,8
1,0,0,0.6,0.6,1,1-1,20-10,9,-0.36,0,0,1.2,0,0.025,0.075,0.1,0.025,0.15,0.175,6,6,6,6,6,6,5,6,6,8,10,8
1,0,0,0.7,0.6,1,2-2,11-1,0,0.29,1,0,1.076923077,0,0.0372,0.0372,0.036,0.0128,0.1128,0.0872,8,7,6,9,7,4,5,7,8,4,6,3
1,0,0,0.8,0.7,1,2-2,12-2,1,0.18,1,0,0.807692308,0,0.1872,0.0128,0.136,0.1372,0.0128,0.1628,7,6,10,6,6,5,8,5,6,6,9,6
1,0,1,1,0.6,1,2-2,13-3,2,0.1,0,0,0.846153846,0,0.0272,0.0172,0.004,0.0172,0.0228,0.0428,10,10,10,10,10,10,5,8,9,6,3,4
1,1,1,0.9,0.7,1,2-2,14-4,3,-0.21,1,0,1.269230769,0,0.0795,0.0455,0.0223,0.017,0.0039,0.0247,9,9,9,9,9,9,7,9,7,6,5,7
1,0,1,1,0.8,1,2-2,15-5,4,0.32,0,0,1.038461538,1,0.009,0.0103,0.0129,0.0103,0.0103,0.009,10,10,10,10,7,8,6,8,7,9,7,8
1,0,1,0.7,0.6,1,2-2,16-6,5,0.73,1,0,1.153846154,0,0.0039,0.0378,0.0223,0.0247,0.0378,0.0247,7,8,7,5,7,7,8,7,8,3,6,2
1,0,0,0.4,0.8,1,2-2,17-7,6,0.6,1,0,1.076923077,0,0.0324,0.0546,0.0097,0.0111,0.0106,0.0324,5,3,4,3,5,3,7,5,9,6,7,9
1,0,1,0.7,0.5,1,2-2,18-8,7,0.07,1,0,1,0,0.007,0.007,0.0027,0.007,0.0307,0.007,7,7,7,7,7,5,5,8,7,5,9,5
